CODIGO (Cod),NOME (N),CREDITOS (Cr),FATOR (f),REQUISITOS...,,
116882,AUTOMATOS E COMPUTABILIDADE,6,D,30,,
117951,COMPILADORES,4,D,15,7,
116394,ORG ARQ DE COMPUTADORES,4,D,24,,
117960,FUNDAMENTOS SIST OPERACIONAIS,4,D,27,,
116912,TRABALHO DE GRADUACAO 1,2,D,,,
117935,PROGRAMACAO CONCORRENTE,4,D,14,22,
117374,LOGICA COMPUTACIONAL 2,4,D,41,,
113131,ALGEBRA 2,4,D,30,,
113051,CALCULO 3,6,D,21,,
116343,LINGUAGENS DE PROGRAMACAO,4,M,26,,
116432,SOFTWARE BASICO,4,M,14,26,
116921,TRABALHO DE GRADUACAO 2,4,M,25,,
113042,CALCULO 2,6,M,28,,
117897,TECNICAS DE PROGRAMACAO 2,4,M,34,,
113107,ALGEBRA 1,4,M,,,
117366,LOGICA COMPUTACIONAL 1,4,M,,,
117943,COMPUTACAO EXPERIMENTAL,4,M,10,26,
117919,METODOLOGIA CIENTIFICA,2,M,8,,
116441,ENGENHARIA DE SOFTWARE,4,M,15,,
115045,PROBABILIDADE E ESTATISTICA,6,M,28,,
117901,TEORIA E APLICACAO DE GRAFOS,4,M,26,,
116653,INTRO INTELIGENCIA ARTIFICIAL,4,M,6,26,
117927,SEGURANCA COMPUTACIONAL,4,M,31,,
116319,ESTRUTURAS DE DADOS,4,M,1,,
117536,PROJETO ANALISE DE ALGORITMOS,4,M,28,34,
116572,REDES DE COMPUTADORES,4,M,26,21,10
117889,TECNICAS DE PROGRAMACAO 1,4,M,26,,
118001,FISICA 1,4,M,,,
137481,LOGICA 1,4,M,,,
113476,ALGORITMOS PROGR COMPUTADORES,6,E,,,
113468,INTROD SISTEMAS COMPUTACIONAIS,4,E,,,
113417,CALCULO NUMERICO,4,E,21,,
113093,INTRODUCAO A ALGEBRA LINEAR,4,E,,,
116327,ORGANIZACAO DE ARQUIVOS,4,E,10,26,
116378,BANCOS DE DADOS,4,E,13,,
116416,SISTEMAS DE INFORMACAO,4,E,26,,
116351,CIRCUITOS DIGITAIS,6,E,,,
113034,CALCULO 1,6,E,,,
113450,FUNDAMENTOS TEOR DA COMPUTACAO,4,E,,,
116726,INFORMATICA E SOCIEDADE,2,E,,,
134465,INTRODUCAO A SOCIOLOGIA,4,E,,,
199290,INTROD AOS EST FUTURO BRASIL,4,E,,,
